Year;Airline;Code;Al Code ICAO;Country;Country Code OAG;Country Code IATA;IATA Regions;Passengers Carried;Kilometres Flown;Aircraft Departures;Hours Flown;Passenger-Kilometres Flown;Available Seat-Kilometres;Tonne-Kilometres Performed;Passenger Load Factor;Period Fin;Currency;Operating Revenue;Operating Revenue Pax;Operating Expenses;Operating Profit;Net Result;Employees;Traf. Source;Fin Source;Pers. Source;Year End;Remarques
2015;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;42940000;731000;322500;1101;140750000;172762000;18135000;81.5;12;USD;17458000;15658000;15549000;1909000;3864000;42322;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;16667000;340000;87100;459200;71111000;89040000;13864000;79.9;12;USD;7792700;4525000;7123700;669000;524100;16455;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;AIRLINE OPERATIONS
2007;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;17695000;367000;89600;495400;74973000;92489000;15569000;81;12;USD;9661000;5786000;8669000;992000;924000;17083;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;18860000;404000;94000;544400;83526000;104648000;16444000;79.8;12;USD;11123000;7458000;12155000;-1032000;1117000;18741;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2009;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;18102000;380000;90200;510500;81071000;99368000;15724000;81.6;12;USD;8641000;5924000;7901000;740000;606000;18495;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;19723000;412000;96300;554000;87316000;103647000;18226000;84.2;12;USD;11523000;7639000;9691000;1832000;1832000;19125;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;20306000;437000;101100;588600;91973000;113212000;18166000;81.2;12;USD;12649000;8712000;11942000;707000;707000;20250;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;21145000;441000;104900;598500;93824000;115551000;17636000;81.2;12;USD;12813000;9043000;12582000;231000;111000;20735;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;21420000;444000;105800;606400;93652000;111991000;17425000;83.6;12;USD;12955000;9260000;12470000;485000;338000;21460;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;22309000;478000;109900;651400;100010000;118437000;19303000;84.4;12;USD;13666000;9765000;13094000;572000;406000;22504;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;CATHAY PACIFIC AW;CX;CPA;HONG KONG;729;HONG;Asia;24014000;500000;114000;678900;108844000;125609000;20672000;86.7;12;USD;13202000;9423000;12342000;860000;774000;23411;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;9838000;206000;63300;284600;32311000;42024300;9044100;77;12;USD;3742200;1941000;3655200;87000;22600;9957;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;NA
2007;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;10084000;213000;64800;293700;33272000;42917000;9339000;78;12;USD;3872000;2049000;3831000;41000;-77000;10060;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;9328000;192000;59400;269300;30563000;39658000;8059000;77.1;12;USD;3975000;2176000;4299000;-324000;-1027000;9684;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;9653000;186000;58800;262300;29875000;39232000;7644000;76.1;12;USD;2977000;1794000;3092000;-115000;-114900;10053;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;10960000;202000;63100;284900;31441000;38634000;9315000;81.4;12;USD;4401000;2413000;3931000;470000;338000;10496;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;11098000;194000;65300;280400;31231000;39835000;8325000;78.4;12;USD;4493000;2746000;4546000;-53000;-66000;10578;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;11820000;186000;68700;275300;32301000;41592000;7543000;77.7;12;USD;4480000;2922000;4506000;-26000;-14000;10866;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;12606000;198000;73700;295500;33631000;43353000;7845000;77.6;12;USD;4429000;2944000;4489000;-60000;-43000;11141;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;13732000;210000;79900;318100;35026000;44840000;8522000;78.1;12;USD;4599000;2994000;4537000;62000;-25000;11319;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;CHINA AL;CI;CAL;TAIWAN (PROV. Of CHINA);781;TAIW;Asia;14416000;215000;82500;330000;36525000;46038000;8742000;79.3;12;USD;4193000;2762000;3945000;248000;181000;12437;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;35015000;434000;329000;678300;50263000;70455000;6930000;71.3;12;USD;4760700;3825000;5116400;-355800;-434000;18226;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2007;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;39159000;472000;368900;747400;57181000;77713000;7547000;73.6;12;USD;5608000;4638000;5591000;17000;50000;40477;Al Monitor 10/15;Al Monitor 10/15;Internet 10/08;31.12;NA
2008;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;37216000;461000;361100;746900;53755000;75919000;7148000;70.8;12;USD;6028000;4941000;8206000;-2178000;-2205000;44153;Al Monitor 10/15;Al Monitor 10/15;Internet 10/09;31.12;NA
2009;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;54760000;506000;411500;824100;75359000;104540000;7795000;72.1;12;USD;5830600;4801000;5991900;-161300;25000;45938;Al Monitor 10/15;Al Monitor 10/15;Internet;31.12;NA
2010;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;64879000;697000;548600;1125700;93058000;119245000;11461000;78;12;USD;11016000;8724000;10173000;843000;779000;44153;Al Monitor 10/15;Al Monitor 10/15;Internet 11/11;31.12;Merged with Shanghai in 2010
2011;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;68724000;755000;576400;1227400;100896000;127891000;12760000;78.9;12;USD;12943000;10612000;12296000;647000;710000;57096;Al Monitor 10/15;Al Monitor 10/15;Internet;31.12;NA
2012;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;73077000;808000;616000;1313000;109113000;136723000;13651000;79.8;12;USD;13804000;11336000;13133000;671000;446000;66207;Al Monitor 10/15;Al Monitor 10/15;Internet;31.12;NA
2013;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;73575000;841000;641500;1366900;112998000;142514000;14190000;79.3;12;USD;14811000;11874000;14554000;257000;446000;68874;Al Monitor 10/15;Al Monitor 10/15;Internet 10/14;31.12;NA
2014;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;77730000;912000;659700;1513600;119689000;150226000;15335000;79.7;12;USD;15211000;12196000;14229000;982000;574000;69849;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2015;CHINA EASTERN AL;MU;CES;CHINA;713;CHIN;Asia;87193000;1013000;717300;1685700;137465000;170487000;16979000;80.6;12;USD;15780000;12496000;13772000;2008000;802000;71033;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;48512000;586000;474900;917200;68505000;95557000;7950000;72;12;USD;6078800;5221000;6038500;40300;26100;45575;Al Monitor 10/08;Al Monitor 10/08;Internet;31.12;NA
2007;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;56522000;669000;540300;1066400;80968000;107721000;9168000;75.2;12;USD;7188000;6542000;6980000;208000;-243000;45474;Al Monitor 10/09;Al Monitor 10/09;Internet 10/08;31.12;NA
2008;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;57961000;681000;554200;1099200;82593000;111946000;9129000;73.8;12;USD;7983000;7279000;8927000;-944000;-696000;46209;Al Monitor 10/09;Al Monitor 10/09;Internet 10/09;31.12;NA
2009;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;65959000;741000;613700;1188400;92353000;122594000;9982000;75.3;12;USD;8330800;7328000;8119600;211200;48000;50412;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2010;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;76078000;867000;683200;1383400;110525000;139459000;13014000;79.3;12;USD;11317000;10164000;10387000;930000;858000;65085;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2011;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;80545000;936000;701100;1503400;121921000;150530000;14405000;81;12;USD;14017000;12637000;13342000;675000;944000;71696;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;China Southern Airlines Group
2012;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;86277000;1047000;755000;1673300;134995000;168886000;15998000;79.9;12;USD;15795000;14212000;14986000;809000;601000;66207;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;91504000;1140000;807100;1820300;147809000;186008000;17242000;79.5;12;USD;16045000;14375000;15799000;246000;448000;80175;Al Monitor 10/14;Al Monitor 10/14;Internet 10/13;31.12;NA
2014;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;100683000;1270000;882000;2018800;166038000;209076000;19636000;79.4;12;USD;17596000;15742000;16827000;769000;389000;98165;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2015;CHINA SOUTHERN AL;CZ;CSN;CHINA;713;CHIN;Asia;109301000;1337000;935500;2232700;189145000;235035000;22312000;80.5;12;USD;17754000;15939000;15617000;2137000;766000;67906;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;CONTINENTAL AL;CO;COA;USA;NA;UNST;North America;47586000;903000;404700;1216100;122689000;150460000;12539000;82;12;USD;10198200;9302600;9787800;410400;343000;42493;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2007;CONTINENTAL AL;CO;COA;USA;NA;UNST;North America;49768000;954000;421200;1286000;130940000;159390000;13307000;82.2;12;USD;11409800;10356800;10788900;620900;459000;42184;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2008;CONTINENTAL AL;CO;COA;USA;NA;UNST;North America;47523000;933000;398100;1254500;129408000;159367000;13140000;81.2;12;USD;12013100;10957500;12390800;-377700;-587000;39281;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;CONTINENTAL AL;CO;COA;USA;NA;UNST;North America;44365000;861000;354000;1149400;125025000;151656000;12673000;82.4;12;USD;9933500;8869000;101432800;-210300;-282000;39640;Al Monitor 10/10;Al Monitor 10/10;Internet 07/10;31.12;NA
2010;CONTINENTAL AL;CO;COA;USA;NA;UNST;North America;NA;NA;NA;NA;128369000;152597000;NA;84.1;P9;USD;10830000;NA;10112000;718000;441000;38591;AL Monitor 02/11;AL Monitor 12/10;IATA;31.12;NA
2006;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;4573000;NA;NA;NA;8071000;11078000;NA;72.9;12;USD;851000;799000;685000;166000;134000;3096;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2007;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;4729000;NA;NA;NA;9429000;12737000;NA;74;12;USD;1027000;967000;838000;189000;160000;3500;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2008;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;5026000;95000;49400;143300;10806000;14228000;NA;75.9;12;USD;1289000;1217000;1065000;224000;119000;4535;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2009;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;5553000;108000;55500;143100;11899000;15944000;NA;74.6;12;USD;1256000;1190000;1016000;240000;249000;4772;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2010;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;6265000;114000;56600;169100;13538000;17615000;NA;76.9;12;USD;1415000;1339000;1125000;290000;241000;5389;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2011;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;6672000;163000;99900;255600;16405000;21479000;NA;76.4;12;USD;1831000;1747000;1446000;385000;310000;7527;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2012;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;7140000;195000;112600;267200;20108000;26650000;NA;75.5;12;USD;2249000;2163000;1846000;403000;326000;8277;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2013;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;7779000;219000;119300;349100;23379000;30484000;NA;76.7;12;USD;2608000;2520000;2090000;518000;427000;8644;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2014;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;7794000;242000;121300;376900;25589000;33456000;NA;76.5;12;USD;2705000;2620000;2184000;521000;371000;9267;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;COPA;CM;CMP;PANAMA ;162;PANM;Central America/Caribbean;7875000;244000;122600;388400;26242000;34875000;NA;75.2;12;USD;2250000;2167000;1984000;266000;371000;9302;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;73525000;1079000;573200;1465700;158920000;201286000;16250000;79;12;USD;13342900;11660400;13311400;31500;3000;45715;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2007;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;126602000;1856000;1021100;2534900;283517000;343534000;30431000;82.5;12;USD;25882900;22060800;23754400;2128500;939000;50080;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;Includes Northwest from 2007
2008;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;120387000;1808000;939200;2461100;284418000;341907000;30069000;83.2;12;USD;27339400;23152300;27824100;-484700;-14242000;47537;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;Includes Northwest from 2007
2009;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;108278000;1674000;845900;2265000;261290000;315261000;27171000;82.9;12;USD;22967200;18037600;23077800;-110600;-1237000;50055;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;Restated to Include Northwest
2010;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;110925000;1693000;848500;2275100;269772000;321486000;27866000;83.9;12;USD;26390900;21214700;23775200;2615800;593000;79484;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;Indluding Northwest
2011;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;113485000;1702000;853700;2279400;269682000;325029000;28064000;83;12;USD;28758800;23397200;26513700;2245100;854000;78983;Al Monitor 10/12;Al Monitor 10/12;IATA;31.12;Crorporate (Including Northwest)
2012;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;116445000;1678000;854100;2245900;271530000;320516000;28242000;84.7;12;USD;30403300;24427400;27719400;2684000;1010000;78176;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2013;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;120389000;1705000;886100;2285800;277521000;327019000;28677000;84.9;12;USD;31740700;25799800;27903000;3837700;10540000;78819;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;129210000;1785000;936900;2388800;290821000;339939000;29895000;85.6;12;USD;34721600;27952900;31797100;2924500;659000;81135;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;DELTA AIR LINES;DL;DAL;USA;NA;UNST;North America;138591000;1884000;1020700;2533100;302471000;353304000;30704000;85.6;12;USD;35466300;28039700;27646400;7819900;4526000;84006;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;27971000;228600;226200;409500;27603200;33879400;2282900;81;12;USD;3073400;2680000;2849900;223500;178600;4859;Al Monitor 10/07;Al Monitor 10/07;Internat 10/07;30.09;AIRLINE OPERATIONS
2007;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;38235000;297000;303300;446600;38310000;45460000;3441000;84.3;12;USD;3551000;3213000;3211000;340000;301000;5674;Al Monitor 10/14;Al Monitor 10/14;Internet 09/16;30.09;NA
2008;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;44577000;367000;337000;644900;49054000;57488000;4012000;85.3;12;USD;4649000;3927000;4470000;179000;164000;6107;Al Monitor 10/09;Al Monitor 10/09;Internet 10/09;30.09;NA
2009;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;39743000;355000;309400;599600;45227000;54347000;3722000;83.2;12;USD;4246500;3307000;4150800;95700;113400;6666;Al Monitor 10/10;Al Monitor 10/10;Internet;30.09;NA
2010;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;42401000;377000;323400;638800;49216000;58272000;30326000;84.5;12;USD;4632000;3742000;4362000;270000;189000;6887;Al Monitor 10/11;Al Monitor 10/11;Internet 11/11;30.09;NA
2011;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;47510000;409000;357400;697400;53982000;63496000;4439000;85;12;USD;5552000;4396000;5119000;433000;362000;7724;Al Monitor 10/12;Al Monitor 10/12;Internet 01/12;30.09;NA
2012;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;50522000;402000;369000;709500;56988000;65261000;4501000;87.3;12;USD;6102000;6007000;5578000;524000;404000;8206;Al Monitor 10/13;Al Monitor 10/13;Internet;30.09;NA
2013;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;50964000;407000;367500;711000;58456000;66483000;4630000;87.9;12;USD;6644000;6544000;5868000;776000;621000;9089;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;30.09;NA
2014;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;64769000;483000;440000;855000;72917000;79508000;4964000;91.7;12;USD;7516000;7408000;6551000;965000;747000;8987;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;30.09;NA
2015;EASYJET AL;U2;EZY;UNITED KINGDOM;493;UNKG;Europe;68630000;507000;460000;900000;77602000;83828000;5183000;92.6;12;USD;7219000;7111000;6159000;1060000;844000;10104;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;30.09;NA
2006;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;5175000;86000;48500;125500;10646000;17574000;1411000;60.6;12;USD;1053000;950000;1049000;4000;4000;22635;Al Monitor 10/16;Al Monitor 10/16;Airline;30.06;NA
2007;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;6796000;103000;58400;158900;14091000;21819000;1601000;64.6;12;USD;1218000;1100000;1190000;28000;28000;24448;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2008;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;6602000;104000;63500;180000;16280000;24352000;1853000;66.9;12;USD;1704600;1600000;1662000;42700;42700;25754;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2009;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;7164000;129000;62000;189300;16711000;24642000;1858000;67.8;12;USD;1797000;1680000;1759000;38000;38000;27428;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2010;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;9517000;149000;93500;243800;20391000;28505000;2464000;71.5;12;USD;1846000;1700000;1822000;24000;NA;29285;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2011;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;7143000;124000;72500;196200;15206000;23846000;1806000;63.8;12;USD;1659000;1550000;2037000;-378000;-361000;31725;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2012;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;8381000;149000;85000;233500;18234000;27492000;2112000;66.3;12;USD;1826000;1710000;2337000;-511000;-312000;32805;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2013;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;8346000;156000;86600;239500;18746000;28809000;2222000;65.1;12;USD;1979000;1850000;2269000;-290000;NA;31642;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2014;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;8521000;151000;85900;234500;18096000;27915000;2192000;64.8;12;USD;1852000;1770000;2237000;-385000;-419000;30943;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2015;EGYPTAIR;MS;MSR;EGYPT;591;EGYP;North Africa;8479000;143000;83700;233700;17546000;26368000;2090000;66.5;12;USD;1876000;1790000;1961000;-85000;-132000;30184;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;NA
2006;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3318000;95700;22900;130700;16051100;19707700;2350600;81;12;USD;1654000;1230000;1671000;-17000;-44400;3562;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;NA
2007;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3731000;101000;12100;142600;17709000;20899000;2661000;84.7;12;USD;1917900;1450000;1822200;95600;44800;3522;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2008;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3834000;98000;12300;137000;17384000;21136000;2336000;82.2;12;USD;2080400;1759000;2078900;1500;-38800;3718;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3803000;98000;25900;138200;17250000;21400000;2180000;80.6;12;USD;1655800;1489000;1730800;-75000;-76300;3733;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2010;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;4194000;104000;26100;148900;18459000;22663000;2403000;81.4;12;USD;1952700;1765000;1864100;88600;57100;3814;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;NA
2011;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3861000;98000;26300;139900;17237000;21457000;2297000;80.3;12;USD;2043000;1829000;2087000;-44000;-49400;3837;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;3966000;95000;25700;134400;17238000;20886000;2224000;82.5;12;USD;2016000;1828000;2005000;11000;-18000;3785;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;4154000;96000;26200;137200;18075000;21793000;2300000;82.9;12;USD;2103000;1920000;2065000;38000;27000;3758;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2014;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;4361000;102000;27300;148000;18975000;22988000;2397000;82.5;12;USD;2081000;1911000;2094000;-13000;-28000;6365;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;EL AL/ISRAEL AL;LY;ELY;ISRAEL;636;ISRL;Middle East;4602000;106000;28700;151700;19723000;23843000;2486000;82.7;12;USD;2054000;1865000;1884000;170000;107000;6496;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;16748000;347000;89500;468200;73890000;97569000;12139000;75.7;12;USD;7804600;5962000;7287000;517700;843700;21228;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;AIRLINE OPERATIONS
2007;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;20447000;389000;99100;525900;90513000;114115000;14245000;79.3;12;USD;10572000;7729000;9360000;1212000;1368000;24668;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2008;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;22444000;435000;107500;584800;100653000;129128000;15764000;77.9;12;USD;11780000;8997000;11160000;620000;187000;28939;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2009;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;25921000;498000;119200;668200;118262000;155294000;17808000;76.2;12;USD;11832000;9059000;10861000;971000;963000;28213;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2010;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;30848000;562000;132400;749800;143634000;175549000;21779000;81.8;12;USD;14765000;11276000;13283000;1482000;1488000;30683;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2011;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;32730000;595000;138700;793200;153235000;194101000;22790000;78.9;12;USD;16958000;13327000;16464000;494000;441000;33878;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2012;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;37733000;675000;155100;899900;180846000;226583000;26561000;79.8;12;USD;19905000;15648000;19132000;773000;656000;39069;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2013;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;43335000;759000;173000;1010900;209332000;264308000;30434000;79.2;12;USD;22498000;17807000;21338000;1160000;930000;42325;Al Monitor 10/15;Al Monitor 10/15;IATA;31.03;NA
2014;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;47278000;803000;178600;1083800;230805000;288330000;33341000;80;12;USD;24182000;19062000;22578000;1604000;1287000;45622;Al Monitor 10/15;Al Monitor 10/15;IATA;31.03;NA
2015;EMIRATES AL;EK;UAE;U. A. EMIRATES;678;UNAR;Middle East;51039000;886000;197000;1068600;251135000;324394000;36275000;77.4;12;USD;23154000;18522000;20886000;2268000;1992000;49069;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
